Title,City,Filed As,Verdict,Confidence,Real Type,Reason,Proposed Action,Raw Industry,Rating,Reviews,Address,Google Maps Link
Esencia Massage and Wellness Siargao,Cloud 9,massage spa,CORRECT,high,massage spa,type 'massage spa' matches massage spa,keep in 'massage spa',Massage spa,4.9,(45),"Tourism Rd, General Luna, Surigao del Norte",https://www.google.com/maps/place/Esencia+Massage+and+Wellness+Siargao/data=!4m7!3m6!1s0x3303f7003a6e67cd:0x30ef84c0fa75949b!8m2!3d9.7904756!4d126.1617579!16s%2Fg%2F11ybhv0k20!19sChIJzWduOgD3AzMRm5R1-sCE7zA?authuser=0&hl=en&rclk=1
Sirena Spa,Cloud 9,massage spa,CORRECT,high,spa,type 'spa' matches massage spa,keep in 'massage spa',Spa,4.1,(327),"Shop 2, Arka Hayahay Lot, Tourism Rd, Catangnan, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/Sirena+Spa/data=!4m7!3m6!1s0x3303f77f3d503e17:0xd638580734be4008!8m2!3d9.8017463!4d126.1599768!16s%2Fg%2F11f794zw6b!19sChIJFz5QPX_3AzMRCEC-NAdYONY?authuser=0&hl=en&rclk=1
Bayud Wellness Spa Back Road,Cloud 9,massage spa,CORRECT,high,massage spa,type 'massage spa' matches massage spa,keep in 'massage spa',Massage spa,4.7,(36),"Catangnan, Back road, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/Bayud+Wellness+Spa+Back+Road/data=!4m7!3m6!1s0x330409497b490d2f:0xea32bc56dee23430!8m2!3d9.8037571!4d126.159037!16s%2Fg%2F11xcffpxbr!19sChIJLw1Je0kJBDMRMDTi3la8Muo?authuser=0&hl=en&rclk=1
Tawhay Fitness Siargao,Cloud 9,gym,CORRECT,high,gym,type 'gym' matches gym,keep in 'gym',Gym,4.8,(392),"Tawhay Fitness, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/Tawhay+Fitness+Siargao/data=!4m7!3m6!1s0x330409b5bfdb2695:0xa5c23178ce15c62c!8m2!3d9.8020661!4d126.1582323!16s%2Fg%2F11kbfk5p6c!19sChIJlSbbv7UJBDMRLMYVzngxwqU?authuser=0&hl=en&rclk=1
CBD Siargao (Catangnan Beach Dojo),Cloud 9,gym,CORRECT,high,gym,type 'gym' matches gym,keep in 'gym',Gym,5.0,(152),"R565+9J3, Tourism Rd, General Luna, Surigao del Norte",https://www.google.com/maps/place/CBD+Siargao+%28Catangnan+Beach+Dojo%29/data=!4m7!3m6!1s0x3304092cda671c83:0x7553122d0ffa6362!8m2!3d9.8106592!4d126.1591434!16s%2Fg%2F11kc97s2qt!19sChIJgxxn2iwJBDMRYmP6Dy0SU3U?authuser=0&hl=en&rclk=1
PRIMEFIT PERFORMANCE GYM,Cloud 9,gym,CORRECT,high,fitness center,type 'fitness center' matches gym,keep in 'gym',Fitness center,5.0,(74),"SITIO STA. INES, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/PRIMEFIT+PERFORMANCE+GYM/data=!4m7!3m6!1s0x330409f62caabc21:0x8d14879538191499!8m2!3d9.7948916!4d126.1583993!16s%2Fg%2F11n3_zr835!19sChIJIbyqLPYJBDMRmRQZOJWHFI0?authuser=0&hl=en&rclk=1
"Asgard Siargao MMA, Fitness & Recovery Resort",Cloud 9,gym,CORRECT,medium,,name reads as gym,keep in 'gym',,4.9,(184),"Saging, Catangnan, General Luna, 8419 Surigao del Norte","https://www.google.com/maps/place/Asgard+Siargao+MMA,+Fitness+%26+Recovery+Resort/data=!4m11!3m10!1s0x330409bfda8eb6cf:0xeb545edb34831e4d!5m3!1s2026-10-31!4m1!1i2!8m2!3d9.8048961!4d126.1590316!16s%2Fg%2F11w3t8qflg!19sChIJz7aO2r8JBDMRTR6DNNteVOs?authuser=0&hl=en&rclk=1"
CrossFit Siargao,Cloud 9,gym,CORRECT,high,gym,type 'gym' matches gym,keep in 'gym',Gym,4.9,(178),"Siargao Island, Poblacion, 5, General Luna, Surigao del Norte",https://www.google.com/maps/place/CrossFit+Siargao/data=!4m7!3m6!1s0x3303f7613b7b4ba7:0xf231a864d51cc09a!8m2!3d9.7915432!4d126.1605613!16s%2Fg%2F11j1cztz7y!19sChIJp0t7O2H3AzMRmsAc1WSoMfI?authuser=0&hl=en&rclk=1
SurFit Gym Siargao,Cloud 9,gym,CORRECT,high,gym,type 'gym' matches gym,keep in 'gym',Gym,4.9,(455),"Tourism Rd, Purok 5, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/SurFit+Gym+Siargao/data=!4m7!3m6!1s0x3303f700455eef0f:0xd3a76f8310a7ec58!8m2!3d9.787995!4d126.1630469!16s%2Fg%2F11xw4bl6lp!19sChIJD-9eRQD3AzMRWOynEINvp9M?authuser=0&hl=en&rclk=1
PrimeFit Gym General Luna,Cloud 9,gym,CORRECT,high,gym,type 'gym' matches gym,keep in 'gym',Gym,4.9,(350),"Tourism Rd, purok 3, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/PrimeFit+Gym+General+Luna/data=!4m7!3m6!1s0x3303f7006cb2377f:0xa58dae8df184557a!8m2!3d9.7854365!4d126.1604944!16s%2Fg%2F11wbdgv_rf!19sChIJfzeybAD3AzMRelWE8Y2ujaU?authuser=0&hl=en&rclk=1
TheIslandBoxer,Cloud 9,gym,CORRECT,high,personal trainer,type 'personal trainer' matches gym,keep in 'gym',Personal trainer,5.0,(6),"R535+WJQ, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/TheIslandBoxer/data=!4m7!3m6!1s0x330409f17007de07:0x1290a4d506f16cef!8m2!3d9.8048125!4d126.1590625!16s%2Fg%2F11vpnb4rtd!19sChIJB94HcPEJBDMR72zxBtWkkBI?authuser=0&hl=en&rclk=1
Tag grocery,Cloud 9,convenience store,CORRECT,high,grocery store,type 'grocery store' matches convenience store,keep in 'convenience store',Grocery store,4.0,(160),"Q5M4+72Q, General Luna, Surigao del Norte",https://www.google.com/maps/place/Tag+grocery/data=!4m7!3m6!1s0x3303f616065564ad:0xdd6cf3fd3c37f71!8m2!3d9.7834208!4d126.1550415!16s%2Fg%2F11b6jddrhw!19sChIJrWRVBhb2AzMRcX_D0z_P1g0?authuser=0&hl=en&rclk=1
Barna's Specialty Grocer,Cloud 9,convenience store,CORRECT,high,gourmet grocery store,type 'gourmet grocery store' matches convenience store,keep in 'convenience store',Gourmet grocery store,4.4,(41),"Q5M4+P49 to Malinao, Road from, Barangay 1, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/Barna%27s+Specialty+Grocer/data=!4m7!3m6!1s0x3303f72b8e9eddc3:0x5e40cb5f228f0394!8m2!3d9.7834409!4d126.1560387!16s%2Fg%2F11fnr9d70h!19sChIJw92ejiv3AzMRlAOPIl_LQF4?authuser=0&hl=en&rclk=1
Barbies Ice Cream,Cloud 9,convenience store,INCORRECT,high,ice cream shop,type 'ice cream shop' is excluded from convenience store,drop from 'convenience store'  (true type: ice cream shop — reclassify there if wanted),Ice cream shop,4.1,(9),"Catagnan 8419, right across the entrance of, Yes surf tourism road, Cloud 9 Dr, Catagnan, Surigao City, 8419 Surigao del Norte",https://www.google.com/maps/place/Barbies+Ice+Cream/data=!4m7!3m6!1s0x3304098c8878a69b:0x97eae3a80cc21e59!8m2!3d9.8117318!4d126.163364!16s%2Fg%2F11x13jb04y!19sChIJm6Z4iIwJBDMRWR7CDKjj6pc?authuser=0&hl=en&rclk=1
"WASH RIDE CLUB | Laundry - Catangnan, Cloud 9",Cloud 9,laundry,CORRECT,high,laundry service,type 'laundry service' matches laundry,keep in 'laundry',Laundry service,4.4,(39),"Touristen Road, Catangnan, General Luna, 8419 Surigao del Norte","https://www.google.com/maps/place/WASH+RIDE+CLUB+%7C+Laundry+-+Catangnan,+Cloud+9/data=!4m7!3m6!1s0x3304091d6d9f829b:0x3ded0432a6e6c857!8m2!3d9.8116683!4d126.1630014!16s%2Fg%2F11x10nk_y_!19sChIJm4KfbR0JBDMRV8jmpjIE7T0?authuser=0&hl=en&rclk=1"
Clean Queen Siargao,Cloud 9,laundry,CORRECT,high,laundry service,type 'laundry service' matches laundry,keep in 'laundry',Laundry service,4.5,(80),"Tuason Point, Lifestyle Center, Akaw, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/Clean+Queen+Siargao/data=!4m7!3m6!1s0x33040993c3648d27:0x2496ca6edc9a40e0!8m2!3d9.8075311!4d126.1662278!16s%2Fg%2F11wntwfs0_!19sChIJJ41kw5MJBDMR4ECa3G7KliQ?authuser=0&hl=en&rclk=1
Siargao Laundry,Cloud 9,laundry,CORRECT,high,laundry service,type 'laundry service' matches laundry,keep in 'laundry',Laundry service,4.1,(79),"General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/Siargao+Laundry/data=!4m7!3m6!1s0x3304090d561ac52b:0x4a7f8466a879df48!8m2!3d9.7977231!4d126.1575899!16s%2Fg%2F11sswn7vj_!19sChIJK8UaVg0JBDMRSN95qGaEf0o?authuser=0&hl=en&rclk=1
Lemon Laundry,Cloud 9,laundry,CORRECT,high,laundromat,type 'laundromat' matches laundry,keep in 'laundry',Laundromat,4.0,(83),"R546+HRX, Tourism Rd, General Luna, Surigao del Norte",https://www.google.com/maps/place/Lemon+Laundry/data=!4m7!3m6!1s0x330409746ad72463:0x94090941470d10bf!8m2!3d9.8065561!4d126.1621586!16s%2Fg%2F11h7z8fb72!19sChIJYyTXanQJBDMRvxANR0EJCZQ?authuser=0&hl=en&rclk=1
Suurf and Suds Laundry Siargao,Cloud 9,laundry,CORRECT,high,laundry service,type 'laundry service' matches laundry,keep in 'laundry',Laundry service,4.6,(51),"Pang-pang, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/Suurf+and+Suds+Laundry+Siargao/data=!4m7!3m6!1s0x3304090b37ab502d:0x4894cbe997328053!8m2!3d9.7998463!4d126.1577032!16s%2Fg%2F11x7h6x538!19sChIJLVCrNwsJBDMRU4Ayl-nLlEg?authuser=0&hl=en&rclk=1
Swell Wash Laundry Catangnan - Siargao,Cloud 9,laundry,CORRECT,high,laundry service,type 'laundry service' matches laundry,keep in 'laundry',Laundry service,4.1,(44),"Barangay, Catangnan, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/Swell+Wash+Laundry+Catangnan+-+Siargao/data=!4m7!3m6!1s0x3304095778b94dd1:0x390a02fb077d92b3!8m2!3d9.8087872!4d126.1600151!16s%2Fg%2F11txtp3g6x!19sChIJ0U25eFcJBDMRs5J9B_sCCjk?authuser=0&hl=en&rclk=1
HardWash Laundry,Cloud 9,laundry,CORRECT,high,laundromat,type 'laundromat' matches laundry,keep in 'laundry',Laundromat,4.0,(113),"5 Tourism Rd, General Luna, Surigao del Norte",https://www.google.com/maps/place/HardWash+Laundry/data=!4m7!3m6!1s0x3303f76bae7cd331:0x98e753c046b120c6!8m2!3d9.7921906!4d126.1614011!16s%2Fg%2F11jsp7ry2s!19sChIJMdN8rmv3AzMRxiCxRsBT55g?authuser=0&hl=en&rclk=1
Bayud Laundry Siargao,Cloud 9,laundry,CORRECT,high,laundry service,type 'laundry service' matches laundry,keep in 'laundry',Laundry service,4.3,(16),"Backroad, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/Bayud+Laundry+Siargao/data=!4m7!3m6!1s0x330409086a14d247:0xcb6e39babda71360!8m2!3d9.8038051!4d126.1590469!16s%2Fg%2F11xzqj_cmd!19sChIJR9IUaggJBDMRYBOnvbo5bss?authuser=0&hl=en&rclk=1
Silver Wave Laundry Shop,Cloud 9,laundry,CORRECT,high,laundry service,type 'laundry service' matches laundry,keep in 'laundry',Laundry service,5.0,(10),"Dapa-Union, Poblacion 1, Purok 1 Dapa - General Luna Rd, Poblacion 1, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/Silver+Wave+Laundry+Shop/data=!4m7!3m6!1s0x3303f7f0d90ba529:0x1ec99b95549a3ff9!8m2!3d9.7822105!4d126.1532119!16s%2Fg%2F11z0yglfmr!19sChIJKaUL2fD3AzMR-T-aVJWbyR4?authuser=0&hl=en&rclk=1
TAPOK Kitchen Siargao,Cloud 9,laundry,CORRECT,high,laundry service,type 'laundry service' matches laundry,keep in 'laundry',Laundry service,4.3,(6),"Purok 1, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/TAPOK+Kitchen+Siargao/data=!4m7!3m6!1s0x3303f7007292fee5:0x1de50662e78e7b72!8m2!3d9.7821555!4d126.1562174!16s%2Fg%2F11wnkz6dxb!19sChIJ5f6ScgD3AzMRcnuO52IG5R0?authuser=0&hl=en&rclk=1
Alwine Laundry Shop 2,Cloud 9,laundry,CORRECT,high,laundry service,type 'laundry service' matches laundry,keep in 'laundry',Laundry service,4.1,(31),"Pob5, General Luna, Surigao del Norte",https://www.google.com/maps/place/Alwine+Laundry+Shop+2/data=!4m7!3m6!1s0x3303f70017b5fec1:0x7ab3d2a5378d9eee!8m2!3d9.7845333!4d126.1563253!16s%2Fg%2F11xlj5348v!19sChIJwf61FwD3AzMR7p6NN6XSs3o?authuser=0&hl=en&rclk=1
Swell Wash Laundry General Luna,Cloud 9,laundry,CORRECT,high,laundry service,type 'laundry service' matches laundry,keep in 'laundry',Laundry service,3.6,(35),"In Front of Bebie's BBQ Poblacion, 3 Tourism Rd, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/Swell+Wash+Laundry+General+Luna/data=!4m7!3m6!1s0x3303f7bd09230ca7:0x7b937e567f021d9e!8m2!3d9.785277!4d126.160292!16s%2Fg%2F11h6dlb27v!19sChIJpwwjCb33AzMRnh0Cf1Z-k3s?authuser=0&hl=en&rclk=1
HAPPYCLEAN LAUNDRY SERVICES,Cloud 9,laundry,CORRECT,high,laundry service,type 'laundry service' matches laundry,keep in 'laundry',Laundry service,4.4,(21),"Q5X6+729, Tourism Rd, General Luna, Surigao del Norte",https://www.google.com/maps/place/HAPPYCLEAN+LAUNDRY+SERVICES/data=!4m7!3m6!1s0x3303f7007ae1bd63:0x75cdf9e349134c4!8m2!3d9.7888822!4d126.1622552!16s%2Fg%2F11lyntcjd8!19sChIJY73hegD3AzMRxDSRNJ7fXAc?authuser=0&hl=en&rclk=1
ALWINE laundry shop,Cloud 9,laundry,CORRECT,high,laundry service,type 'laundry service' matches laundry,keep in 'laundry',Laundry service,4.1,(22),"Purok 1, Poblacion, General Luna, Surigao del Norte",https://www.google.com/maps/place/ALWINE+laundry+shop/data=!4m7!3m6!1s0x3303f700410f59cf:0x1aa1837beeb35ac9!8m2!3d9.7812483!4d126.1512694!16s%2Fg%2F11wqk55n14!19sChIJz1kPQQD3AzMRyVqz7nuDoRo?authuser=0&hl=en&rclk=1
Swell Wash Laundry Santa Fe,Cloud 9,laundry,CORRECT,high,laundry service,type 'laundry service' matches laundry,keep in 'laundry',Laundry service,4.4,(18),"R4QQ+WV, General Luna, Surigao del Norte",https://www.google.com/maps/place/Swell+Wash+Laundry+Santa+Fe/data=!4m7!3m6!1s0x3304098c9178240f:0xda49da9ef5d27a15!8m2!3d9.8398099!4d126.1396601!16s%2Fg%2F11sdqq_f69!19sChIJDyR4kYwJBDMRFXrS9Z7aSdo?authuser=0&hl=en&rclk=1
Jully's Laundry,Cloud 9,laundry,CORRECT,high,laundry service,type 'laundry service' matches laundry,keep in 'laundry',Laundry service,3.7,(15),"3 Dapa - General Luna Rd, General Luna, Surigao del Norte",https://www.google.com/maps/place/Jully%27s+Laundry/data=!4m7!3m6!1s0x3303f70073a9fda1:0x6732895f62301f1c!8m2!3d9.7839385!4d126.1580674!16s%2Fg%2F11y4n53fg3!19sChIJof2pcwD3AzMRHB8wYl-JMmc?authuser=0&hl=en&rclk=1
Hardwash laundry Santa Fe,Cloud 9,laundry,CORRECT,high,laundry service,type 'laundry service' matches laundry,keep in 'laundry',Laundry service,4.0,(15),"Santa Fe, Main road, Santa Fe, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/Hardwash+laundry+Santa+Fe/data=!4m7!3m6!1s0x330409d4ac5925e5:0xa9647b75f35cec79!8m2!3d9.840093!4d126.1374553!16s%2Fg%2F11w8r79cch!19sChIJ5SVZrNQJBDMReexc83V7ZKk?authuser=0&hl=en&rclk=1
Casa Bianca Siargao,Cloud 9,laundry,INCORRECT,high,lodging,type 'lodging' is excluded from laundry,drop from 'laundry'  (true type: lodging — reclassify there if wanted),Lodging,4.3,(16),"R555+PPX, General Luna, Surigao del Norte",https://www.google.com/maps/place/Casa+Bianca+Siargao/data=!4m11!3m10!1s0x330409b7346d7a95:0xd0556a143f8d8ffa!5m3!1s2026-10-31!4m1!1i2!8m2!3d9.8093504!4d126.1593727!16s%2Fg%2F11hz9hkm0c!19sChIJlXptNLcJBDMR-o-NPxRqVdA?authuser=0&hl=en&rclk=1
Taga-Trento Laundry Shop,Cloud 9,laundry,CORRECT,high,laundry service,type 'laundry service' matches laundry,keep in 'laundry',Laundry service,5.0,(2),"Q5R5+4HV, Tourism Rd, General Luna, Surigao del Norte",https://www.google.com/maps/place/Taga-Trento+Laundry+Shop/data=!4m7!3m6!1s0x3303f7d691a8c1cd:0x2e45b2b1300d69eb!8m2!3d9.7903584!4d126.1589237!16s%2Fg%2F11h1m40592!19sChIJzcGokdb3AzMR62kNMLGyRS4?authuser=0&hl=en&rclk=1
Rides R Us Siargao,Cloud 9,scooter rental,CORRECT,high,scooter rental service,type 'scooter rental service' matches scooter rental,keep in 'scooter rental',Scooter rental service,4.9,(56),"R565+2V4, Tourism Rd, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/Rides+R+Us+Siargao/data=!4m7!3m6!1s0x330409f98651da5f:0x3b77d425c952d76f!8m2!3d9.8100625!4d126.1596875!16s%2Fg%2F11wbgpbm73!19sChIJX9pRhvkJBDMRb9dSySXUdzs?authuser=0&hl=en&rclk=1
Bureau of Immigration Siargao,Cloud 9,embassy,INCORRECT,high,government office,type 'government office' is not a embassy,drop from 'embassy'  (true type: government office — reclassify there if wanted),Government office,4.9,(26),"Poblacion 1, Surigao del Norte",https://www.google.com/maps/place/Bureau+of+Immigration+Siargao/data=!4m7!3m6!1s0x3303f7004b23607f:0x48ed61f5696c55aa!8m2!3d9.7810752!4d126.1566216!16s%2Fg%2F11vyxmnbhg!19sChIJf2AjSwD3AzMRqlVsafVh7Ug?authuser=0&hl=en&rclk=1
Eco-Oil General Luna,Cloud 9,gas station,CORRECT,high,gas station,type 'gas station' matches gas station,keep in 'gas station',Gas station,5.0,(2),135 san sebastian St,https://www.google.com/maps/place/Eco-Oil+General+Luna/data=!4m7!3m6!1s0x3303f7006bc2b47b:0x70bbc2c50679d351!8m2!3d9.7839906!4d126.1574076!16s%2Fg%2F11mt2x4k9c!19sChIJe7TCawD3AzMRUdN5BsXCu3A?authuser=0&hl=en&rclk=1
Pops District Cloud 9 Siargao,Cloud 9,tourist information,INCORRECT,high,tourist attraction,type 'tourist attraction' is not a tourist information,drop from 'tourist information'  (true type: tourist attraction — reclassify there if wanted),Tourist attraction,4.5,(4),"Tourism Rd, General Luna, Surigao del Norte",https://www.google.com/maps/place/Pops+District+Cloud+9+Siargao/data=!4m7!3m6!1s0x330409003ed24d63:0xfa07c223429beb0f!8m2!3d9.8118823!4d126.1631981!16s%2Fg%2F11w1wv9zfj!19sChIJY03SPgAJBDMRD-ubQiPCB_o?authuser=0&hl=en&rclk=1
Broken Board,Cloud 9,tourist information,REVIEW,low,,Industry blank — cannot judge,human review — no type signal,,4.5,(41),"R555+FFX, Tourism Rd, General Luna, Surigao del Norte",https://www.google.com/maps/place/Broken+Board/data=!4m11!3m10!1s0x33040915c7616855:0x32b9f02bb9fc573b!5m3!1s2026-10-31!4m1!1i2!8m2!3d9.8087468!4d126.1587251!16s%2Fg%2F11h5khv_j6!19sChIJVWhhxxUJBDMRO1f8uSvwuTI?authuser=0&hl=en&rclk=1
Surfing spot,Cloud 9,tourist information,INCORRECT,high,tourist attraction,type 'tourist attraction' is not a tourist information,drop from 'tourist information'  (true type: tourist attraction — reclassify there if wanted),Tourist attraction,4.8,(4),"R4HX+G7R, General Luna, Surigao del Norte",https://www.google.com/maps/place/Surfing+spot/data=!4m7!3m6!1s0x3304094cbe3b5665:0xf58960015350cccc!8m2!3d9.8288647!4d126.1481436!16s%2Fg%2F11sdz7_55v!19sChIJZVY7vkwJBDMRzMxQUwFgifU?authuser=0&hl=en&rclk=1
Djee Kho,Cloud 9,tourist information,CORRECT,high,tourist information center,type 'tourist information center' matches tourist information,keep in 'tourist information',Tourist information center,5.0,(6),"Catangnan, Cloud 9 Dr, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/Djee+Kho/data=!4m7!3m6!1s0x33040903fd5a1ef9:0xb6824f77722bbb96!8m2!3d9.8123244!4d126.1634488!16s%2Fg%2F11y6trcj5b!19sChIJ-R5a_QMJBDMRlrsrcndPgrY?authuser=0&hl=en&rclk=1
WaveWork Co-Working Space,Cloud 9,coworking space,CORRECT,high,coworking space,type 'coworking space' matches coworking space,keep in 'coworking space',Coworking space,5.0,(17),"Rucksack Inn Siargao Barangay Catangnan, St, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/WaveWork+Co-Working+Space/data=!4m7!3m6!1s0x330409001f8138f3:0xe793f7518406b335!8m2!3d9.8079741!4d126.1630927!16s%2Fg%2F11zkrz0_60!19sChIJ8ziBHwAJBDMRNbMGhFH3k-c?authuser=0&hl=en&rclk=1
Lexias Hostel Workspace Siargao,Cloud 9,coworking space,INCORRECT,high,hostel,type 'hostel' is excluded from coworking space,drop from 'coworking space'  (true type: hostel — reclassify there if wanted),Hostel,4.0,(68),"R534+5R2 Siargao Island, Sitio pangpang, Tourism Rd, Catangnan, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/Lexias+Hostel+Workspace+Siargao/data=!4m11!3m10!1s0x3304097875e0f1b9:0x283e836dc255e97c!5m3!1s2026-10-31!4m1!1i2!8m2!3d9.8028793!4d126.1570073!16s%2Fg%2F11q8w9ks3w!19sChIJufHgdXgJBDMRfOlVwm2DPig?authuser=0&hl=en&rclk=1
"Lungga Coworking, Coliving & Cafe",Cloud 9,coworking space,CORRECT,high,coworking space,type 'coworking space' matches coworking space,keep in 'coworking space',Coworking space,5.0,(31),"Libertad, General Luna, 8419 Surigao del Norte","https://www.google.com/maps/place/Lungga+Coworking,+Coliving+%26+Cafe/data=!4m11!3m10!1s0x330409cca3f87847:0xfc794b8b3611c392!5m3!1s2026-10-31!4m1!1i2!8m2!3d9.8317121!4d126.1336402!16s%2Fg%2F11zjmpv3kf!19sChIJR3j4o8wJBDMRksMRNotLefw?authuser=0&hl=en&rclk=1"
7-Eleven ST3982 Diatagon,Enchanted River,convenience store,CORRECT,high,convenience store,type 'convenience store' matches convenience store,keep in 'convenience store',Convenience store,4.8,(5),"M4GQ+W98, Diatagon, Lianga, Surigao del Sur",https://www.google.com/maps/place/7-Eleven+ST3982+Diatagon/data=!4m7!3m6!1s0x330209e1afc8dd23:0x63c193aca1cdca6c!8m2!3d8.6772902!4d126.138451!16s%2Fg%2F11kqsxk_qk!19sChIJI93Ir-EJAjMRbMrNoayTwWM?authuser=0&hl=en&rclk=1
Euronet ATM,General Luna,atm,CORRECT,high,atm,type 'atm' matches atm,keep in 'atm',ATM  Big,5.0,(1),9 Hostel,https://www.google.com/maps/place/Euronet+ATM/data=!4m7!3m6!1s0x3303f7482df41f61:0x51a942549f96d4ed!8m2!3d9.7856796!4d126.1610198!16s%2Fg%2F11yjh2lmz0!19sChIJYR_0LUj3AzMR7dSWn1RCqVE?authuser=0&hl=en&rclk=1
Euronet ATM,General Luna,atm,CORRECT,high,atm,type 'atm' matches atm,keep in 'atm',ATM  Torres' Residence Brgy 3 Tourism Road General LunaOpen,4.0,(1),,https://www.google.com/maps/place/Euronet+ATM/data=!4m7!3m6!1s0x3303f773bd853cf5:0x1a35551f340b03eb!8m2!3d9.784949!4d126.159656!16s%2Fg%2F11xt00l567!19sChIJ9TyFvXP3AzMR6wMLNB9VNRo?authuser=0&hl=en&rclk=1
GoTyme Bank Kiosk POPS District Building Wodd Coffee Shop Siargao,General Luna,atm,CORRECT,high,bank,type 'bank' matches atm,keep in 'atm',Bank  Cloud,5.0,(2),9 Dr,https://www.google.com/maps/place/GoTyme+Bank+Kiosk+POPS+District+Building+Wodd+Coffee+Shop+Siargao/data=!4m7!3m6!1s0x3304093048c8e039:0xd6911cf2eefb43eb!8m2!3d9.8123706!4d126.1635016!16s%2Fg%2F11yb6jhs5m!19sChIJOeDISDAJBDMR60P77vIckdY?authuser=0&hl=en&rclk=1
Cebuana Lhuillier Pawnshop - General Luna,General Luna,atm,INCORRECT,high,pawn shop,type 'pawn shop' is excluded from atm,drop from 'atm'  (true type: pawn shop — reclassify there if wanted),Pawn shop  Figuoron Bldg,4.2,(5),135 san sebastian St,https://www.google.com/maps/place/Cebuana+Lhuillier+Pawnshop+-+General+Luna/data=!4m7!3m6!1s0x33022dc7de92ed83:0xb86bedf647a150e3!8m2!3d9.7842284!4d126.157347!16s%2Fg%2F11fd4wlb7z!19sChIJg-2S3sctAjMR41ChR_bta7g?authuser=0&hl=en&rclk=1
Namnama Siargao,General Luna,atm,INCORRECT,high,homestay,type 'homestay' is not a atm,drop from 'atm'  (true type: homestay — reclassify there if wanted),Homestay  Siargao Island Poblacion,5.0,(57),50909 745 1734,https://www.google.com/maps/place/Namnama+Siargao/data=!4m7!3m6!1s0x3303f7006eabb6cd:0x7d3c15693ec981ee!8m2!3d9.7845352!4d126.1563494!16s%2Fg%2F11xrsmppdp!19sChIJzbarbgD3AzMR7oHJPmkVPH0?authuser=0&hl=en&rclk=1
Guiral store,General Luna,atm,INCORRECT,high,store,type 'store' is not a atm,drop from 'atm'  (true type: store — reclassify there if wanted),StoreOpen  Closes 12 AM,4.6,(9),0906 380 0615,https://www.google.com/maps/place/Guiral+store/data=!4m7!3m6!1s0x330409e8ea1ea7cd:0xde24b182b26d10f8!8m2!3d9.8095723!4d126.1595784!16s%2Fg%2F11vprqvtx3!19sChIJzace6ugJBDMR-BBtsoKxJN4?authuser=0&hl=en&rclk=1
Euronet ATM,General Luna,atm,CORRECT,high,atm,type 'atm' matches atm,keep in 'atm',ATM  Forcadilla Residence Brgy StaFeOpen,5.0,(1),,https://www.google.com/maps/place/Euronet+ATM/data=!4m7!3m6!1s0x33040990b6641fbb:0x65c3d09f247f5bc!8m2!3d9.8403787!4d126.1388716!16s%2Fg%2F11xt0nqc7c!19sChIJux9ktpAJBDMRvPVH8gk9XAY?authuser=0&hl=en&rclk=1
GoldenBell Motorbike Rental - Siargao,General Luna,atm,INCORRECT,high,motorcycle rental agency,type 'motorcycle rental agency' is not a atm,drop from 'atm'  (true type: motorcycle rental agency — reclassify there if wanted),Motorcycle rental agency  Tourism RdClosed  Opens 7:30 AM,5.0,(866),0945 615 5438,https://www.google.com/maps/place/GoldenBell+Motorbike+Rental+-+Siargao/data=!4m7!3m6!1s0x3303f7002840556b:0x2bc08e6d848fbdd6!8m2!3d9.7859572!4d126.1616636!16s%2Fg%2F11vy_8g9tf!19sChIJa1VAKAD3AzMR1r2PhG2OwCs?authuser=0&hl=en&rclk=1
Mlhullier Pawnshop,General Luna,currency exchange,REVIEW,low,,Industry blank — cannot judge,human review — no type signal,,3.5,(20),,https://www.google.com/maps/place/Mlhullier+Pawnshop/data=!4m7!3m6!1s0x3303f6164173db97:0xa174244a79ed1a59!8m2!3d9.7845245!4d126.1561852!16s%2Fg%2F11dyx9vkrh!19sChIJl9tzQRb2AzMRWRrteUokdKE?authuser=0&hl=en&rclk=1
